question,url /website/link,answer
Overview & benefits of RSA Victoria,https://cft.edu.au/rsa/vic/,"100% online RSA for Victoria with same-day certification once you pass. Marketing highlights include instant certificate download, enrol today for $49, and support 7 days a week with fast responses.
 Includes a free national RSA statement for other states (SA, WA, NT, QLD) to
 boost employability."
Course summary & assessment RSA Victoria,https://cft.edu.au/rsa/vic/,"Course code SITHFAB021. Delivery is 100% online and self-paced (up to ~6 hours). Immediate access on enrolment; certificate downloadable on assessment completion.
 Assessment involves eLearning with MCQ/drag-and-drop/fill-in-the-blank plus two role-play videos.
 Outcome: Nationally Recognised Statement of Attainment, plus RSA Certificate of Completion required for Victoria."
Description & outline of RSA Victoria,https://cft.edu.au/rsa/vic/,"Training focuses on responsible service of alcohol for Victoria: recognising intoxication, intervening effectively, patron safety, and compliance with liquor laws and workplace policies in Victoria and nationally. 
Suitable for bars, restaurants, and other licensed venues."
Who needs this (VIC) & topics in RSA Victoria,https://cft.edu.au/rsa/vic/,"In Victoria, anyone serving, selling, or offering liquor in venues with general/late-night, on-premises/late-night, packaged liquor, or other licence types (if a licence condition) must complete RSA training.
 Topics include alcohol-related harms, Victorian liquor law, staff
 responsibilities, venue atmosphere strategies, and handling difficult customers."
LCV approval & certificate of RSA Victoria,https://cft.edu.au/rsa/vic/,"Provider states it is Liquor Control Victoria (LCV) approved with no hidden fees (same-day marking included). On completion you receive the LCV RSA Certificate by email; it's described as valid for 3 years and 
recognised under Victorian liquor laws."
Study info & entry requirements of RSA Victoria,https://cft.edu.au/rsa/vic/,"Delivery is 100% online, self-paced (~up to 6 hours), with no overall time limit. Requires computer + stable internet and basic skills. No minimum course age is stated, but you must be 18 to serve alcohol in a licensed venue."
Overview & safety themes for White Card (Construction Induction) Intl students,https://www.worksafe.vic.gov.au/construction-induction-training-white-card,"The White Card (construction induction) is a prerequisite for many construction roles. Training covers hazard identification, risk assessment, safe work practices, handling/storage of chemicals, incident avoidance,
 workplace communication and emergency procedures."
What is a White Card?,https://www.worksafe.vic.gov.au/construction-induction-training-white-card,A White Card shows you have completed the unit Prepare to work safely in the construction industry (often called White Card training). It demonstrates basic understanding of WHS principles required to start work on construction sites.
Legal requirement & OHS basics for White Card (Construction Induction) Intl students,https://www.worksafe.vic.gov.au/construction-induction-training-white-card,"The card is a legal requirement for people who work in Australia's construction industry. Training builds core OHS knowledge duties of workers and businesses, recognizing common site hazards, and 
foundational risk control practices and serves as evidence you have 
completed induction training."
Recognition & delivery modes for White Card (Construction Induction) Intl students,https://www.worksafe.vic.gov.au/construction-induction-training-white-card,"The White Card is nationally recognised across states and territories. Courses are delivered by approved RTOs; delivery can be in-person or online/virtual depending on jurisdictional rules. 
Always check the local regulators accepted delivery methods before enrolling."
How to get it & documents for White Card (Construction Induction) Intl students,https://www.worksafe.vic.gov.au/construction-induction-training-white-card,"Enroll with a Registered Training Organisation (RTO) for the construction induction course (often ~6 hours). 
International students typically provide ID and visa details (e.g., passport, student visa, current address). Providers specify exact document requirements during enrolment."
"Preparation, assessment & who needs it for White Card (Construction Induction) Intl students",https://www.worksafe.vic.gov.au/construction-induction-training-white-card,"Prepare by choosing an approved RTO, enrolling, and reviewing course materials (hazards, risk assessment, safe work practices, emergency procedures).
 Assessment may include knowledge questions and practical components. Required for workers on licensed 
construction sites (e.g., labourers, carpenters, bricklayers, plumbers, electricians and related trades)."
Uber eat Delivery & gig work for Part-time work options International students (AU) ,https://www.uber.com/au/en/deliver/,Uber Eats courier sign-up and info for delivery partners in Australia.
door dash Delivery & gig work for Part-time work options International students (AU),https://dasher.doordash.com/en-au,DoorDash Dasher portal for applying to deliver in Australia.
menu log Delivery & gig work Part-time work options International students (AU),https://couriers.menulog.com.au/signup,Menulog courier sign-up page for food delivery.
Seek General job boards for Part-time work options International students (AU),https://www.seek.com.au/,SEEK job search filter for part-time or casual roles.
Indeed General job boards Part-time work options International students (AU),https://au.indeed.com/,Indeed Australia  search part-time/student jobs with location filters.
Gumtree General job boards Part-time work options International students (AU),https://www.gumtree.com.au/jobs,Gumtree Jobs  classifieds for casual/part-time roles and local gigs.
